,rel,query,author_name
31389,4,Computer Architecture,Yi-Chu Wang
31826,1,Computational Biology,Marc Kirschner
32514,4,Operating Systems,Alex Merrill
39276,2,Network Management,Arup Raton Roy
5008,2,Artificial Intelligence,Yejin Choi
8453,5,Machine Intelligence,Bing Xue
35369,2,Embedded Systems,Steffen Peter
39265,1,Network Management,John Colvin
31553,2,Distributed Systems,Olena Skarlat
32005,5,Deep Learning,Shaojie Bai
38646,4,Computational Finance,Daniel Kaiser
26259,3,Robotics,Stephen F. Smith
31570,2,Distributed Systems,Chadly Marouane
11561,1,Computer Vision,David Lowe
35406,3,Embedded Systems,Belkassem Tidhaf
41561,3,Software Testing,Eric Bodden
39931,4,Quantitative Analysis,Emilio Gómez-Déniz
26234,3,Robotics,Raja Chatila
34909,4,High-Performance Computing,Yinping Yang
31270,1,Grid Computing,Thomas Fahringer
38973,2,Health Informatics,John H. Holmes
38427,2,Computational Finance,Stefano Herzel
22458,5,Human-Computer Interaction,Saijing Zheng
30127,1,Information Security,Audun Jøsang
7987,2,Deep Learning,Chao Tian
20373,2,Computer Graphics,Eibe Frank
23600,1,Internet of Things,Asgeir Tomasgard
8366,3,Machine Learning,Benjamin Schrauwen
26286,5,Robotics,José Santos-Victor
37361,2,Business Intelligence,Samuel Burer
8382,5,Machine Intelligence,Jim Smith
41604,4,Software Testing,Ning Cao
37103,3,Autonomous Systems,Hanno Hildmann
33792,3,Wireless Communications,Jooseung Kim
31258,5,Network Security,Shareeful Islam
764,1,Deep Learning,Max Welling
37406,3,Business Intelligence,Barrett W. Thomas
22905,4,Quantum Computing,Stuart Hadfield
31917,5,Computational Biology,Jürg Bähler
44847,2,Web Services,Binh Nguyen
38828,1,Generative AI,Sungmin Hong
31274,1,Parallel Computing,Elkin Garcia
5372,2,Reinforcement Learning,Awni Hannun
11029,2,Data Mining,Armando B. Mendes
38271,1,Complex Systems,Steffen Klamt
31537,1,Grid Computing,Tamas Kiss
31761,2,Game Development,James Manning
33428,1,Digital Signal Processing,Ljiljana Milic
23497,1,Augmented Reality,Alejandro R Jadad
22447,4,Human-Computer Interaction,Paul Pangaro
32123,2,Computer Architecture,Carlos V. Regueiro
8788,4,Statistical Learning,Djork-Arné Clevert
39200,4,IT Governance,Francesco Schiavone
36923,3,Computational Chemistry,Christine Peter
37383,2,Business Intelligence,Subodha Kumar
23093,4,Cryptography,Iñigo Querejeta-Azurmendi
26279,5,Robotics,Carlos Silvestre
36866,1,Ubiquitous Computing,Georgi V. Georgiev
22241,2,Software Engineering,Mihir Bellare
4874,1,Machine Intelligence,Samy Bengio
42408,5,System Integration,Jacob R. Stevens
22497,1,Quantum Computing,Keivan Navi
23033,1,Cryptography,François Dupressoir
31295,1,Parallel Computing,Sanchit Misra
11325,1,Computer Graphics,Yoshua Bengio
25614,5,Network Security,Ali Safaa Sadiq
33471,1,Wireless Communications,Tamer ElBatt
20392,3,Scientific Computing,Alan Yuille
25669,1,Robotics,Davide Scaramuzza
5286,2,Deep Learning,Martin Renqiang Min
41285,2,Software Testing,Young-Bae Ko
35905,1,Pattern Recognition,Saman K. Halgamuge
45015,2,Web Services,Fernando Izquierdo-Carrasco
23081,3,Cryptography,Thom Wiggers
